assembly_bio_sample_accession	scientific_name	taxonomic_group	genus	family	order	class	taxon_rank	pacbio	nanopore	project	assembly_id_pri	assembly_id_alt	contig_n50_pri	contig_n50_alt	scaffold_n50_pri	scaffold_n50_alt	assembly_name_pri	assembly_name_alt	gcf_pri	gcf_alt	assembly_span_pri	assembly_span_alt	assembly_level_pri	assembly_level_alt	scientific_name_for_timetree
SAMN04159679	Arctocephalus gazella	mammal	Arctocephalus	Otariidae	Carnivora	Mammalia	species	true	false	Other	GCA_040869175.1	GCA_040869195.1	55559406	73963075	141635559	141085310	arcGaz4_h1	arcGaz4_h2	NA	NA	2527519239	2517567542	Scaffold	Scaffold	Arctocephalus gazella
SAMN08537700	Ornithorhynchus anatinus	mammal	Ornithorhynchus	Ornithorhynchidae	Monotremata	Mammalia	species	true	false	VGP	GCA_004115215.4	GCA_004115175.2	15146802	882175	83338043	882175	mOrnAna1.pri.v4	mOrnAna1.alt.v3	GCF_004115215.2	NA	1859264908	1575252831	Chromosome	Scaffold	Ornithorhynchus anatinus
SAMN09948510	Rhinolophus ferrumequinum	mammal	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	species	true	false	VGP	GCA_004115265.3	GCA_004115295.1	31900497	301176	88025743	301176	mRhiFer1_v1.p	mRhiFer1_v1.h	GCF_004115265.2	NA	2075768562	1514615512	Chromosome	Scaffold	Rhinolophus ferrumequinum
SAMN09948522	Archocentrus centrarchus	ray-finned fish	Archocentrus	Cichlidae	Cichliformes	Actinopteri	species	true	false	VGP	GCA_007364275.2	GCA_007364235.1	2146538	455563	35590001	456957	fArcCen1	fArcCen1_v1.h	GCF_007364275.1	NA	932930362	1034011644	Chromosome	Scaffold	Archocentrus centrarchus
SAMN09948786	Phyllostomus discolor	mammal	Phyllostomus	Phyllostomidae	Chiroptera	Mammalia	species	true	false	VGP	GCA_004126475.3	GCA_004115245.2	6892556	931872	171742863	931872	mPhyDis1.pri.v3	mPhyDis1.alti.v3	GCF_004126475.2	NA	2108832841	2051656167	Chromosome	Scaffold	Phyllostomus discolor
SAMN10521808	Pongo abelii	mammal	Pongo	Hominidae	Primates	Mammalia	species	true	true	Other	GCA_028885655.2	GCA_028885685.2	146197178	140600164	146197178	140600164	NHGRI_mPonAbe1-v2.0_pri	NHGRI_mPonAbe1-v2.0_alt	GCF_028885655.2	NA	3259853530	3000996708	Chromosome	Chromosome	Pongo abelii
SAMN10521809	Pongo pygmaeus	mammal	Pongo	Hominidae	Primates	Mammalia	species	true	true	Other	GCA_028885625.2	GCA_028885525.2	140592248	137913290	143261986	140580864	NHGRI_mPonPyg2-v2.0_pri	NHGRI_mPonPyg2-v2.0_alt	GCF_028885625.2	NA	3220935163	3007136161	Complete Genome	Chromosome	Pongo pygmaeus
SAMN11104991	Bubalus bubalis	mammal	Bubalus	Bovidae	Artiodactyla	Mammalia	species	true	false	Other	GCA_019923935.1	GCA_019923925.1	9586610	5359742	116997125	117225556	NDDB_SH_1	NDDB_DH_1	GCF_019923935.1	GCF_019923925.1	2622444281	2612882031	Complete Genome	Chromosome	Bubalus bubalis
SAMN12287136	Balaenoptera musculus	mammal	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_009873245.3	GCA_008658375.2	6315640	275582	110314666	275582	mBalMus1.pri.v3	mBalMus1.alt.v2	GCF_009873245.2	NA	2374852541	1835388607	Chromosome	Scaffold	Balaenoptera musculus
SAMN12292087	Alca torda	bird	Alca	Alcidae	Charadriiformes	Aves	species	true	false	VGP	GCA_008658365.1	GCA_008658355.1	18221265	1949609	84526827	NA	bAlcTor1 primary	bAlcTor1 alternate	NA	NA	1178473458	1220378950	Chromosome	Contig	Alca torda
SAMN12326775	Tursiops truncatus	mammal	Tursiops	Delphinidae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_011762515.1	GCA_011762535.1	12444576	9995053	87973674	93918948	mTurTru1.pat	mTurTru1.mat	NA	NA	2378995196	2385753970	Scaffold	Scaffold	Tursiops truncatus
SAMN12368149	Zalophus californianus	mammal	Zalophus	Otariidae	Carnivora	Mammalia	species	true	false	VGP	GCA_009762305.2	GCA_009762295.2	32626160	1316871	147124152	NA	mZalCal1.pri.v2	mZalCal1.alt.v2	GCF_009762305.2	NA	2409668595	1970935876	Chromosome	Contig	Zalophus californianus
SAMN12368441	Corvus moneduloides	bird	Corvus	Corvidae	Passeriformes	Aves	species	true	false	VGP	GCA_009650955.1	GCA_009651025.1	11524098	2563033	74699841	NA	bCorMon1.pri	bCorMon1.alt	GCF_009650955.1	NA	1112734094	905198257	Chromosome	Contig	Corvus moneduloides
SAMN12368443	Callithrix jacchus	mammal	Callithrix	Cebidae	Primates	Mammalia	species	true	false	VGP	GCA_011100535.2	GCA_011078405.1	14602993	8609028	136971485	146897247	mCalJac1.2.pat	mCalJac1.mat	NA	NA	2727469741	2811151840	Chromosome	Chromosome	Callithrix jacchus
SAMN12369541	Sterna hirundo	bird	Sterna	Laridae	Charadriiformes	Aves	species	true	false	VGP	GCA_009819605.1	GCA_009819645.1	22002498	5650192	85487239	NA	bSteHir1.pri	bSteHir1.alt	NA	NA	1229953488	1175438911	Chromosome	Contig	Sterna hirundo
SAMN12369542	Sylvia atricapilla	bird	Sylvia	Sylviidae	Passeriformes	Aves	species	true	false	VGP	GCA_009819655.1	GCA_009819715.1	7345957	1545467	72978054	1545467	bSylAtr1.pri	bSylAtr1.alt	GCF_009819655.1	NA	1066786587	991486332	Chromosome	Scaffold	Sylvia atricapilla
SAMN12611849	Arvicanthis niloticus	mammal	Arvicanthis	Muridae	Rodentia	Mammalia	species	true	false	VGP	GCA_011762545.1	GCA_011750645.1	11143170	8920743	79926082	80178650	mArvNil1.pat	mArvNil1.mat	NA	NA	2517706780	2486141644	Scaffold	Scaffold	Arvicanthis niloticus
SAMN12612024	Choloepus didactylus	mammal	Choloepus	Megalonychidae	Pilosa	Mammalia	species	true	false	VGP	GCA_015220235.1	GCA_015220265.1	20994632	512739	146178362	513103	mChoDid1.pri	mChoDid1.alt	GCF_015220235.1	NA	3214686105	3180649806	Chromosome	Scaffold	Choloepus didactylus
SAMN12612337	Tamandua tetradactyla	mammal	Tamandua	Myrmecophagidae	Pilosa	Mammalia	species	true	false	VGP	GCA_023851605.1	GCA_023853755.1	9869167	547310	174634624	547310	mTamTet1.pri	mTamTet1.alt	NA	NA	3205724741	2898984517	Chromosome	Scaffold	Tamandua tetradactyla
SAMN12612360	Chelonia mydas	reptile	Chelonia	Cheloniidae	Testudines	NA	species	true	false	VGP	GCA_015237465.2	GCA_015220195.2	39415510	454332	134428053	455478	rCheMyd1.pri.v2	rCheMyd1.alt.v2	GCF_015237465.2	NA	2134358617	1896142417	Chromosome	Scaffold	Chelonia mydas
SAMN12614799	Bucorvus abyssinicus	bird	Bucorvus	Bucorvidae	Bucerotiformes	Aves	species	true	false	VGP	GCA_009769605.1	GCA_009769595.1	12039478	954952	40274051	NA	bBucAby1.pri	bBucAby1.alt	NA	NA	1132597561	1024138499	Chromosome	Contig	Bucorvus abyssinicus
SAMN12614807	Cariama cristata	bird	Cariama	Cariamidae	Cariamiformes	Aves	species	true	false	VGP	GCA_009819825.1	GCA_009819485.1	13514148	1876668	30176635	1876668	bCarCri1.pri	bCarCri1.alt	NA	NA	1215224075	930239327	Chromosome	Scaffold	Cariama cristata
SAMN12614931	Phoenicopterus ruber ruber	bird	Phoenicopterus	Phoenicopteridae	Phoenicopteriformes	Aves	subspecies	true	false	VGP	GCA_009819775.1	GCA_009819805.1	14700712	1417567	85472901	NA	bPhoRub2.pri	bPhoRub2.alt	NA	NA	1246226932	1167509893	Chromosome	Contig	Phoenicopterus ruber ruber
SAMN12615749	Balearica regulorum gibbericeps	bird	Balearica	Gruidae	Gruiformes	Aves	subspecies	true	false	VGP	GCA_011004875.1	GCA_011004865.1	23326060	2534691	82577926	2534691	bBalReg1.pri	bBalReg1.alt	NA	NA	1221032548	1042364165	Chromosome	Scaffold	Balearica regulorum gibbericeps
SAMN12618602	Catharus ustulatus	bird	Catharus	Turdidae	Passeriformes	Aves	species	true	false	VGP	GCA_009819885.2	GCA_009819505.2	4908935	1498444	68462074	1498444	bCatUst1.pri.v2	bCatUst1.alt.v2	GCF_009819885.2	NA	1131616530	1128658440	Chromosome	Scaffold	Catharus ustulatus
SAMN12618613	Sylvia borin	bird	Sylvia	Sylviidae	Passeriformes	Aves	species	true	false	VGP	GCA_014839755.1	GCA_014839765.1	31914676	4687358	72750092	NA	bSylBor1.pri	bSylBor1.alt	NA	NA	1045652180	1032649170	Chromosome	Contig	Sylvia borin
SAMN12620979	Chiroxiphia lanceolata	bird	Chiroxiphia	Pipridae	Passeriformes	Aves	species	true	false	VGP	GCA_009829145.1	GCA_009829205.1	18496167	1085679	75608808	NA	bChiLan1.pri	bChiLan1.alt	GCF_009829145.1	NA	1089631598	1054616617	Chromosome	Contig	Chiroxiphia lanceolata
SAMN12621035	Merops nubicus	bird	Merops	Meropidae	Coraciiformes	Aves	species	true	false	VGP	GCA_009819595.1	GCA_009819585.1	12372304	1966515	49132790	NA	bMerNub1.pri	bMerNub1.alt	NA	NA	1149337515	1122486764	Chromosome	Contig	Merops nubicus
SAMN12621036	Tauraco erythrolophus	bird	Tauraco	Musophagidae	Musophagiformes	Aves	species	true	false	VGP	GCA_009769465.1	GCA_009764505.1	11927027	1233539	85562082	NA	bTauEry1.pri	bTauEry1.alt	NA	NA	1252271553	1084112861	Chromosome	Contig	Tauraco erythrolophus
SAMN12621102	Lemur catta	mammal	Lemur	Lemuridae	Primates	Mammalia	species	true	false	VGP	GCA_020740605.1	GCA_020740595.1	32529614	35377149	102162704	35377149	mLemCat1.pri	mLemCat1.alt	GCF_020740605.2	NA	2245584463	2266570666	Chromosome	Scaffold	Lemur catta
SAMN12621346	Aythya fuligula	bird	Aythya	Anatidae	Anseriformes	Aves	species	true	false	VGP	GCA_009819795.1	GCA_009819845.1	17816505	4453028	85905639	4453028	bAytFul2.pri	bAytFul2.alt	GCF_009819795.1	NA	1126988109	1013629683	Chromosome	Scaffold	Aythya fuligula
SAMN12621369	Cygnus olor	bird	Cygnus	Anatidae	Anseriformes	Aves	species	true	false	VGP	GCA_009769625.2	GCA_009769485.2	8308965	327091	81481363	327091	bCygOlo1.pri.v2	bCygOlo1.alt.v2	GCF_009769625.2	NA	1134169903	814594871	Chromosome	Scaffold	Cygnus olor
SAMN12622411	Nyctibius grandis	bird	Nyctibius	Nyctibiidae	Caprimulgiformes	Aves	species	true	false	VGP	GCA_013368605.1	GCA_013368595.1	23231768	2458434	92359233	2458434	bNycGra1.pri	bNycGra1.alt	NA	NA	1256393467	1041284291	Chromosome	Scaffold	Nyctibius grandis
SAMN12623090	Melopsittacus undulatus	bird	Melopsittacus	Psittaculidae	Psittaciformes	Aves	species	true	false	VGP	GCA_012275265.1	GCA_012275275.1	16111685	12472009	75845561	99198005	bMelUnd1.mat	bMelUnd1.pat	NA	NA	1169393027	1124753724	Scaffold	Scaffold	Melopsittacus undulatus
SAMN12623201	Notolabrus celidotus	ray-finned fish	Notolabrus	Labridae	Labriformes	Actinopteri	species	true	false	VGP	GCA_009762535.1	GCA_009762545.1	3748462	572529	37090664	NA	fNotCel1.pri	fNotCel1.alt	GCF_009762535.1	NA	846744125	770553912	Chromosome	Contig	Notolabrus celidotus
SAMN12623217	Pterocles gutturalis	bird	Pterocles	Pteroclidae	Pterocliformes	Aves	species	true	false	VGP	GCA_009769525.1	GCA_009769505.1	12131577	1147717	43262132	NA	bPteGut1.pri	bPteGut1.alt	NA	NA	1127398289	1037717354	Chromosome	Contig	Pterocles gutturalis
SAMN12623616	Scatophagus argus	ray-finned fish	Scatophagus	Scatophagidae	NA	Actinopteri	species	true	false	VGP	GCA_020382885.1	GCA_020382915.1	17189422	852965	24451451	852965	fScaArg1.pri	fScaArg1.alt	GCF_020382885.2	NA	570785501	563244951	Chromosome	Scaffold	Scatophagus argus
SAMN12623618	Melanotaenia boesemani	ray-finned fish	Melanotaenia	Melanotaeniidae	Atheriniformes	Actinopteri	species	true	false	VGP	GCA_017639745.1	GCA_017639755.1	9299978	411984	37878235	412532	fMelBoe1.pri	fMelBoe1.alt	GCF_017639745.1	NA	865575964	764404102	Chromosome	Scaffold	Melanotaenia boesemani
SAMN12623619	Megalops cyprinoides	ray-finned fish	Megalops	Megalopidae	Elopiformes	Actinopteri	species	true	false	VGP	GCA_013368585.1	GCA_013368575.1	26850664	465753	38251172	465753	fMegCyp1.pri	fMegCyp1.alt	GCF_013368585.1	NA	959241634	920469332	Chromosome	Scaffold	Megalops cyprinoides
SAMN12623620	Chelmon rostratus	ray-finned fish	Chelmon	Chaetodontidae	Chaetodontiformes	Actinopteri	species	true	false	VGP	GCA_017976325.1	GCA_017976315.1	16959746	470290	27778429	470290	fCheRos1.pri	fCheRos1.alt	GCF_017976325.1	NA	644191893	601666562	Chromosome	Scaffold	Chelmon rostratus
SAMN12623621	Aplochiton taeniatus	ray-finned fish	Aplochiton	Galaxiidae	Galaxiiformes	Actinopteri	species	true	false	VGP	GCA_017639675.1	GCA_017639685.1	956540	156481	20392628	156481	fAplTae1.pri	fAplTae1.alt	NA	NA	461946147	560414924	Chromosome	Scaffold	Aplochiton taeniatus
SAMN12623622	Xenentodon cancila	ray-finned fish	Xenentodon	Belonidae	Beloniformes	Actinopteri	species	true	false	VGP	GCA_014839995.1	GCA_014839645.1	2195850	211426	28679447	211426	fXenCan1.pri	fXenCan1.alt	NA	NA	736198484	658557970	Chromosome	Scaffold	Xenentodon cancila
SAMN12623625	Electrophorus electricus	ray-finned fish	Electrophorus	Gymnotidae	Gymnotiformes	Actinopteri	species	true	false	VGP	GCA_013358815.1	GCA_013347915.1	7062559	216154	25664172	NA	fEleEle1.pri	fEleEle1.alt	GCF_013358815.1	NA	589358956	428136346	Chromosome	Contig	Electrophorus electricus
SAMN12623626	Antennarius maculatus	ray-finned fish	Antennarius	Antennariidae	Lophiiformes	Actinopteri	species	true	false	VGP	GCA_013358685.1	GCA_013347815.1	10114706	380060	22928215	NA	fAntMac1.pri	fAntMac1.alt	NA	NA	549930323	530348589	Chromosome	Contig	Antennarius maculatus
SAMN12623627	Anguilla anguilla	ray-finned fish	Anguilla	Anguillidae	Anguilliformes	Actinopteri	species	true	false	VGP	GCA_013347855.1	GCA_013347865.1	5114673	723285	57205429	NA	fAngAng1.pri	fAngAng1.alt	GCF_013347855.1	NA	979029243	965248483	Chromosome	Contig	Anguilla anguilla
SAMN12629497	Dryobates pubescens	bird	Dryobates	Picidae	Piciformes	Aves	species	true	false	VGP	GCA_014839835.1	GCA_014839825.1	19150283	2189221	38715865	2189221	bDryPub1.pri	bDryPub1.alt	GCF_014839835.1	NA	1187939694	1082594729	Chromosome	Scaffold	Dryobates pubescens
SAMN12629499	Thamnophis elegans	reptile	Thamnophis	Colubridae	Squamata	Lepidosauria	species	true	false	VGP	GCA_009769535.1	GCA_009769695.1	4620601	432811	100851885	440193	rThaEle1.pri	rThaEle1.alt	GCF_009769535.1	NA	1672190305	1814330211	Chromosome	Scaffold	Thamnophis elegans
SAMN12629500	Periophthalmus magnuspinnatus	ray-finned fish	Periophthalmus	Gobiidae	Gobiiformes	Actinopteri	species	true	false	VGP	GCA_009829125.3	GCA_009829135.1	2301275	469974	32865169	469974	fPerMag1.2.pri	fPerMag1.alt	GCF_009829125.3	NA	752605561	698977026	Chromosome	Scaffold	Periophthalmus magnuspinnatus
SAMN12629501	Hippoglossus hippoglossus	ray-finned fish	Hippoglossus	Pleuronectidae	Pleuronectiformes	Actinopteri	species	true	false	VGP	GCA_009819705.1	GCA_009819745.1	7020318	826995	26312018	826995	fHipHip1.pri	fHipHip1.alt	GCF_009819705.1	NA	596775069	676690381	Chromosome	Scaffold	Hippoglossus hippoglossus
SAMN12629502	Cyclopterus lumpus	ray-finned fish	Cyclopterus	Cyclopteridae	Perciformes	Actinopteri	species	true	false	VGP	GCA_009769545.1	GCA_009769515.1	4950682	599283	23863342	NA	fCycLum1.pri	fCycLum1.alt	GCF_009769545.1	NA	572885595	480967379	Chromosome	Contig	Cyclopterus lumpus
SAMN12629503	Sebastes umbrosus	ray-finned fish	Sebastes	Sebastidae	Perciformes	Actinopteri	species	true	false	VGP	GCA_015220745.1	GCA_015220095.1	11445908	558988	34912176	563026	fSebUmb1.pri	fSebUmb1.alt	GCF_015220745.1	NA	800904020	765970641	Chromosome	Scaffold	Sebastes umbrosus
SAMN12629505	Pristis pectinata	cartilaginous fish	Pristis	Pristidae	Rhinopristiformes	Chondrichthyes	species	true	false	VGP	GCA_009764475.2	GCA_009764485.1	17009522	261025	101699621	NA	sPriPec2.1.pri	sPriPec2.alt	GCF_009764475.1	NA	2267840987	1694166684	Chromosome	Contig	Pristis pectinata
SAMN12629506	Petromyzon marinus	jawless fish	Petromyzon	Petromyzontidae	Petromyzontiformes	Hyperoartia	species	true	false	VGP	GCA_010993605.1	GCA_010993595.1	2540784	397345	12997950	397797	kPetMar1.pri	kPetMar1.alt	GCF_010993605.1	NA	1089034212	841632067	Chromosome	Scaffold	Petromyzon marinus
SAMN12629507	Trichosurus vulpecula	mammal	Trichosurus	Phalangeridae	Diprotodontia	Mammalia	species	true	false	VGP	GCA_011100635.1	GCA_011100645.1	4314688	551016	442560073	551016	mTriVul1.pri	mTriVul1.alt	GCF_011100635.1	NA	3359330516	2591928569	Chromosome	Scaffold	Trichosurus vulpecula
SAMN12629508	Cuculus canorus	bird	Cuculus	Cuculidae	Cuculiformes	Aves	species	true	false	VGP	GCA_017976375.1	GCA_017976305.1	20797936	3661986	78325852	3661986	bCucCan1.pri	bCucCan1.alt	GCF_017976375.1	NA	1180136575	1063845602	Chromosome	Scaffold	Cuculus canorus
SAMN12629509	Lacerta agilis	reptile	Lacerta	Lacertidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_009819535.1	GCA_009819545.1	6613248	365044	86565987	365044	rLacAgi1.pri	rLacAgi1.alt	GCF_009819535.1	NA	1391387079	1429379209	Chromosome	Scaffold	Lacerta agilis
SAMN12631222	Geothlypis trichas	bird	Geothlypis	Parulidae	Passeriformes	Aves	species	true	false	VGP	GCA_009764595.1	GCA_009764545.1	3247339	1049351	72541719	1049351	bGeoTri1.pri	bGeoTri1.alt	NA	NA	1078128490	976433058	Chromosome	Scaffold	Geothlypis trichas
SAMN12634963	Tachyglossus aculeatus	mammal	Tachyglossus	Tachyglossidae	Monotremata	Mammalia	species	true	false	VGP	GCA_015852505.1	GCA_015852515.1	19859057	944524	63379719	948183	mTacAcu1.pri	mTacAcu1.alt	GCF_015852505.1	NA	2213004214	1885160879	Chromosome	Scaffold	Tachyglossus aculeatus
SAMN13935689	Pan paniscus	mammal	Pan	Hominidae	Primates	Mammalia	species	true	true	Other	GCA_028858825.2	GCA_028858845.2	147478900	147028407	147478900	147028407	NHGRI_mPanPan1-v2.0_pat	NHGRI_mPanPan1-v2.0_mat	NA	NA	3076853215	3210032406	Chromosome	Chromosome	Pan paniscus
SAMN14169820	Mastacembelus armatus	ray-finned fish	Mastacembelus	Mastacembelidae	Synbranchiformes	Actinopteri	species	true	false	Other	GCA_019455525.1	GCA_019455535.1	9715001	9102883	25171794	25086215	Marm_hapY	Marm_hapX	NA	NA	589793654	591921084	Chromosome	Chromosome	Mastacembelus armatus
SAMN14441686	Poecilia formosa	ray-finned fish	Poecilia	Poeciliidae	Cyprinodontiformes	Actinopteri	species	true	false	Other	GCA_013036135.2	GCA_013036085.2	1104733	1886383	25602130	30631712	Poecilia_formosa_haplotype_latipinna	Poecilia_formosa_haplotype_mexicana	NA	NA	674607737	745326098	Chromosome	Chromosome	Poecilia formosa
SAMN14675488	Hirundo rustica	bird	Hirundo	Hirundinidae	Passeriformes	Aves	species	true	false	VGP	GCA_015227805.3	GCA_015227815.3	2794774	992690	76187387	992690	bHirRus1.pri.v3	bHirRus1.alt.v3	GCF_015227805.2	NA	1105955550	936032861	Chromosome	Scaffold	Hirundo rustica
SAMN15098508	Pogoniulus pusillus	bird	Pogoniulus	Lybiidae	Piciformes	Aves	species	true	false	VGP	GCA_015220805.1	GCA_015220175.1	16792259	647387	33994490	647387	bPogPus1.pri	bPogPus1.alt	GCF_015220805.1	NA	1272338968	1101771457	Chromosome	Scaffold	Pogoniulus pusillus
SAMN15960293	Gallus gallus	bird	Gallus	Phasianidae	Galliformes	Aves	species	true	false	VGP	GCA_016699485.1	GCA_016700215.2	18834961	17744542	90861225	90563926	bGalGal1.mat.broiler.GRCg7b	bGalGal1.pat.whiteleghornlayer.GRCg7w_WZ	GCF_016699485.2	GCF_016700215.2	1053315467	1050511239	Chromosome	Chromosome	Gallus gallus
SAMN16093224	Motacilla alba alba	bird	Motacilla	Motacillidae	Passeriformes	Aves	subspecies	true	false	Other	GCA_015832195.1	GCA_015832205.1	8515530	251690	72386170	NA	Motacilla_alba_V1.0_pri	Motacilla_alba_V1.0_alt	GCF_015832195.1	NA	1072653902	797430388	Chromosome	Contig	Motacilla alba alba
SAMN16442762	Acanthisitta chloris	bird	Acanthisitta	Acanthisittidae	Passeriformes	Aves	species	true	false	VGP	GCA_016904835.1	GCA_016880875.1	16681756	1753226	40827287	1753226	bAcaChl1.pri	bAcaChl1.alt	NA	NA	1077368553	827793803	Chromosome	Scaffold	Acanthisitta chloris
SAMN16870685	Falco naumanni	bird	Falco	Falconidae	Falconiformes	Aves	species	true	false	VGP	GCA_017639655.1	GCA_017639645.1	13754753	13983350	91761059	65156219	bFalNau1.pat	bFalNau1.mat	GCF_017639655.2	NA	1215702009	1156765323	Chromosome	Scaffold	Falco naumanni
SAMN18353822	Ciconia maguari	bird	Ciconia	Ciconiidae	Ciconiiformes	Aves	species	true	false	VGP	GCA_017639555.1	GCA_017639665.1	23757428	345889	85554746	345889	bCicMag1.pri	bCicMag1.alt	NA	NA	1239415939	967599765	Chromosome	Scaffold	Ciconia maguari
SAMN18353970	Pluvialis apricaria	bird	Pluvialis	Charadriidae	Charadriiformes	Aves	species	true	false	VGP	GCA_017639485.1	GCA_017639475.1	15203797	2329139	87527607	2329139	bPluApr1.pri	bPluApr1.alt	NA	NA	1247746888	1085787090	Chromosome	Scaffold	Pluvialis apricaria
SAMN18445299	Toxotes jaculatrix	ray-finned fish	Toxotes	Toxotidae	NA	Actinopteri	species	true	false	VGP	GCA_017976425.1	GCA_017976295.1	15555772	493489	26859436	493489	fToxJac2.pri	fToxJac2.alt	GCF_017976425.1	NA	621503431	594660453	Chromosome	Scaffold	Toxotes jaculatrix
SAMN18719720	Ovis aries	mammal	Ovis	Bovidae	Artiodactyla	Mammalia	species	true	false	Other	GCA_022702505.1	GCA_022702665.1	62864296	50817247	62864296	53161075	ASM2270250v1	ASM2270266v1	NA	NA	2772165925	2752825232	Scaffold	Scaffold	Ovis aries
SAMN18857598	Dromiciops gliroides	mammal	Dromiciops	Microbiotheriidae	Microbiotheria	Mammalia	species	true	false	VGP	GCA_019393635.1	GCA_019395325.1	38230856	490192	670775900	490192	mDroGli1.pri	mDroGli1.alt	GCF_019393635.1	NA	3303199800	2818512018	Chromosome	Scaffold	Dromiciops gliroides
SAMN18857608	Alosa sapidissima	ray-finned fish	Alosa	Clupeidae	Clupeiformes	Actinopteri	species	true	false	VGP	GCA_018492685.1	GCA_018492705.1	1565278	361041	38440066	361041	fAloSap1.pri	fAloSap1.alt	GCF_018492685.1	NA	903564947	852425339	Chromosome	Scaffold	Alosa sapidissima
SAMN20391724	Jaculus jaculus	mammal	Jaculus	Dipodidae	Rodentia	Mammalia	species	true	false	VGP	GCA_020740685.1	GCA_020740715.1	22104564	6605917	158244790	117185741	mJacJac1.mat.Y.cur	mJacJac1.pat.decon	GCF_020740685.1	NA	2863848715	2595216862	Chromosome	Scaffold	Jaculus jaculus
SAMN21436765	Actinemys marmorata	reptile	Actinemys	Emydidae	Testudines	NA	species	true	false	CCGP	GCA_022086475.1	GCA_022086895.1	75081387	2165034	146229595	18355815	rActMar1.p	rActMar1.a	NA	NA	2301101399	2209870670	Scaffold	Scaffold	Actinemys marmorata
SAMN22026095	Rutilus rutilus	ray-finned fish	Rutilus	Leuciscidae	Cypriniformes	Actinopteri	species	true	false	Euro-Fish	GCA_021464565.1	GCA_021464575.1	12790461	726240	42584803	42686569	fRutRut3.pri.20211004	fRutRut3.alt.20211004	NA	NA	1096109301	1094876625	Scaffold	Scaffold	Rutilus rutilus
SAMN22028852	Leuciscus idus	ray-finned fish	Leuciscus	Leuciscidae	Cypriniformes	Actinopteri	species	true	false	Euro-Fish	GCA_021554675.1	GCA_021554715.1	6028738	664766	42071081	665161	fLeuIdu1.pri.20210917	fLeuIdu1.alt.20210917	NA	NA	1104030153	940923713	Chromosome	Scaffold	Leuciscus idus
SAMN22047685	Diceros bicornis minor	mammal	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	subspecies	true	false	VGP	GCA_020826845.1	GCA_020826835.1	28468213	27234015	65026825	59078673	mDicBic1.mat.cur	mDicBic1.pat.decon	GCF_020826845.1	NA	3005519209	3044793931	Chromosome	Scaffold	Diceros bicornis minor
SAMN22141988	Scomber colias	ray-finned fish	Scomber	Scombridae	Scombriformes	Actinopteri	species	true	false	Other	GCA_021039105.1	GCA_021039115.1	3315783	465391	4190967	466016	S.colias_p1.0	S.colias_a1.0	NA	NA	814072382	807935773	Scaffold	Scaffold	Scomber colias
SAMN22550082	Trogon surrucura	bird	Trogon	Trogonidae	Trogoniformes	Aves	species	true	false	VGP	GCA_020746105.1	GCA_020746095.1	16237294	1472883	82617956	1472883	bTroSur1.pri.cur	bTroSur1.alt.cur	NA	NA	1165727389	997329498	Chromosome	Scaffold	Trogon surrucura
SAMN22550094	Theristicus caerulescens	bird	Theristicus	Threskiornithidae	Pelecaniformes	Aves	species	true	false	VGP	GCA_020745775.1	GCA_020745805.1	37098842	4660171	101368359	4660171	bTheCae1.pri.cur	bTheCae1.alt.cur	NA	NA	1203353649	1041135290	Chromosome	Scaffold	Theristicus caerulescens
SAMN22550098	Hemiscyllium ocellatum	cartilaginous fish	Hemiscyllium	Hemiscylliidae	Orectolobiformes	Chondrichthyes	species	true	false	VGP	GCA_020745735.1	GCA_020745765.1	8845575	7868162	83580160	56110228	sHemOce1.pat.X.cur.	sHemOce1.mat.decon	GCF_020745735.1	NA	3983466396	4149461884	Chromosome	Scaffold	Hemiscyllium ocellatum
SAMN22550412	Porphyrio hochstetteri	bird	Porphyrio	Rallidae	Gruiformes	Aves	species	true	false	VGP	GCA_020800305.1	GCA_020801775.1	13461271	13731557	71566193	58902102	bPorHoc1.mat.Z.cur	bPorHoc1.pat.decon	NA	NA	1270277365	1245128614	Chromosome	Scaffold	Porphyrio hochstetteri
SAMN22588383	Hemiprocne comata	bird	Hemiprocne	Apodidae	Apodiformes	Aves	species	true	false	VGP	GCA_020745705.1	GCA_020745695.1	20531774	1772167	91346199	1772167	bHemCom1.pri.cur	bHemCom1.alt.cur	NA	NA	1164793941	1052608110	Chromosome	Scaffold	Hemiprocne comata
SAMN22589422	Tautogolabrus adspersus	ray-finned fish	Tautogolabrus	Labridae	Labriformes	Actinopteri	species	true	false	VGP	GCA_020745685.1	GCA_020745675.1	7919333	992536	31691308	992536	fTauAds1.pri.cur	fTauAds1.alt.cur	NA	NA	723565691	695716069	Chromosome	Scaffold	Tautogolabrus adspersus
SAMN22785356	Apus apus	bird	Apus	Apodidae	Apodiformes	Aves	species	true	false	VGP	GCA_020740795.1	GCA_020740585.1	25561769	2357147	115508478	2357147	bApuApu2.pri.cur	bApuApu2.alt.cur	GCF_020740795.1	NA	1100361224	1019504970	Chromosome	Scaffold	Apus apus
