"","assembly_bio_sample_accession","scientific_name","assembly_id_pri","taxonomic_group","assemblyInfo_biosample_geoLocName","assemblyInfo_biosample_latLon","assemblyInfo_comments","geo_location","latlon","lat","lon"
"101","SAMEA12790223","Myxine glutinosa","GCA_964187855.1","jawless fish","Sweden",NA,"The assembly kmMyxGlut1.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Sweden",NA,59.6749712,14.5208584
"102","SAMEA12815432","Nannobrachium achirus","GCA_963921795.1","ray-finned fish","Southern Ocean",NA,"The assembly fNanAch1.1 is based on 31x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Southern Ocean",NA,-59.9999999,89.9999999
"103","SAMEA12815434","Protomyctophum bolini","GCA_963924005.1","ray-finned fish","Southern Ocean",NA,"The assembly fProBol1.1 is based on 40x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. sex chromosomes could not be identified","Southern Ocean",NA,-59.9999999,89.9999999
"104","SAMEA12815435","Gymnoscopelus microlampas","GCA_963454915.1","ray-finned fish","Southern Ocean",NA,"The assembly fGymMic1.1 is based on 62x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Southern Ocean",NA,-59.9999999,89.9999999
"105","SAMEA12815440","Protomyctophum parallelum","GCA_964188405.1","ray-finned fish","Southern Ocean",NA,"The assembly fProPar1.1 is based on 35x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. A manually phased assembly (based on HiC signal) was generated from a jointly curated primary and alt assembly. Both haplotypes are assembled to chromosome scale. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Southern Ocean",NA,-59.9999999,89.9999999
"106","SAMEA12815441","Notothenia rossii","GCA_949606895.1","ray-finned fish","Southern Ocean",NA,"The assembly fNotRos5.1 is based on 24x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Southern Ocean",NA,-59.9999999,89.9999999
"107","SAMEA12815492","Melanostigma gelatinosum","GCA_949748355.1","ray-finned fish","Southern Ocean",NA,"The assembly fMelGel1.1 is based on 39x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Southern Ocean",NA,-59.9999999,89.9999999
"108","SAMEA12815494","Gymnoscopelus braueri","GCA_963280865.1","ray-finned fish","Southern Ocean",NA,"The assembly fGymBra2.1 is based on 34x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Southern Ocean",NA,-59.9999999,89.9999999
"109","SAMEA12832258","Vipera ursinii","GCA_947247035.1","reptile","Hungary",NA,"The assembly rVipUrs1.1 is based on 28x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation. The order and orientation of chromosome W is not determined with full certainty","Hungary",NA,47.1817585,19.5060937
"110","SAMEA12885580","Anaecypris hispanica","GCA_964187705.1","ray-finned fish","Portugal",NA,NA,"Portugal",NA,39.6621648,-8.1353519
"111","SAMEA12922160","Nesoenas mayeri","GCA_963082525.1","bird","United Kingdom",NA,"The assembly bNesMay2.1 is based on 32x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"112","SAMEA13217622","Chionomys nivalis","GCA_950005125.1","mammal",NA,NA,NA,NA,NA,NA,NA
"113","SAMEA13300737","Alburnus alburnus","GCA_964188515.1","ray-finned fish","Czech Republic",NA,NA,"Czech Republic",NA,49.7439047,15.3381061
"114","SAMEA13335783","Barbus barbus","GCA_936440315.1","ray-finned fish","United Kingdom",NA,"The assembly fBarBab1.1 is based on 47x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"115","SAMEA13607423","Sylvilagus floridanus","GCA_949820135.1","mammal",NA,NA,"The assembly mSylFlo1.10 is based on
26X PacBio HiFi reads generated at the Wellcome Sanger Institute. The assembly process included the following steps: initial contig assembly generation with hifiasm (0.18.2-r467) and then genome scaffolding was performed using a reference guided method, CAUS. Here the reference used was an assembly of
Sylvilagus_bachmani_HiC.fasta, from a Brush rabbit. Finally, the assembly was analysed and manually QCed using gEVAL. Chromosome-level scaffolds have been achieved by synteny, but not confirmed as there are no Hi-C data. Scaffolds are ordered according to Sylvilagus_bachmani_HiC.fasta. The MT sequence has not been included.",NA,NA,NA,NA
"116","SAMEA13853390","Pleuronectes platessa","GCA_947347685.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"117","SAMEA13854149","Gobius niger","GCA_951799975.1","ray-finned fish","United Kingdom",NA,"The assembly fGobNig1.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"118","SAMEA13854416","Hyperoplus immaculatus","GCA_949357725.1","ray-finned fish","United Kingdom",NA,"The assembly fHypImm3.1 is based on 31x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"119","SAMEA13854528","Syngnathus acus","GCA_948146105.1","ray-finned fish","United Kingdom",NA,"The assembly fSynAcu2.1 is based on 80x PacBio data, 10X Genomics Chromium data, and Arima2 Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds are named by synteny based on Syngnathus acus (greater pipefish) GCF_901709675.1.","United Kingdom",NA,54.7023545,-3.2765753
"120","SAMEA14098186","Eptesicus nilssonii","GCA_951640355.1","mammal","Norway",NA,"The assembly mEptNil1.1 is based on 33x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Norway",NA,64.5731537,11.5280364
"121","SAMEA14448128","Osmerus eperlanus","GCA_963692335.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"122","SAMEA4675621","Parambassis ranga","GCA_900634625.2","ray-finned fish",NA,NA,"The assembly fParRan2.2 is based on
101x PacBio Sequel data,
122x coverage Illumina HiSeqX data from a 10X Genomics Chromium library generated at the Wellcome Sanger Institute as well as BioNano Saphyr DLE data generated at the Rockefeller University Vertebrate Genome Laboratory and
108x coverage HiSeqX data from a Hi-C library prepared by Arima Genomics. An initial PacBio assembly was made using Falcon-unzip, and retained haplotigs were identified using purge_haplotigs. The primary contigs were then scaffolded using the 10X data with scaff10x, then scaffolded further with BioNano hybrid scaffolding and scaffolded further still using the Hi-C data with SALSA2. Polishing and gap-filling of both the primary scaffolds and haplotigs was performed using the PacBio reads and Arrow, followed by two rounds of Illumina polishing using the 10X data and freebayes. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was manually improved using gEVAL to correct mis-joins and improve concordance with the BioNano and Hi-C data. Chromosomes are named by synteny to medaka.",NA,NA,NA,NA
"123","SAMEA4760689","Erithacus rubecula","GCA_903797595.2","bird",NA,NA,"The assembly bEriRub2.2 is based on 41x PacBio data, 22x 10X Genomics Chromium data, and 42x Dovetail Hi-C data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig separation with purge_dups, 10X based scaffolding with scaff10x, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,NA,NA
"124","SAMEA4872123","Scleropages formosus","GCA_900964775.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"125","SAMEA4872133","Myripristis murdjan","GCA_902150065.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"126","SAMEA4966328","Sphaeramia orbicularis","GCA_902148855.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"127","SAMEA4966329","Salarias fasciatus","GCA_902148845.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"128","SAMEA4966390","Echeneis naucrates","GCA_900963305.2","ray-finned fish",NA,NA,"The assembly fEcheNa1.2 is based on
62x PacBio data,
100x coverage 10X Genomics Chromium data, BioNano data and
112x coverage Dovetail Hi-C data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds are named by synteny to medaka.",NA,NA,NA,NA
"129","SAMEA5159473","Chanos chanos","GCA_902362185.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"130","SAMEA5572864","Acipenser ruthenus","GCA_902713425.2","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"131","SAMEA5574046","Gadus morhua","GCA_902167405.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"132","SAMEA7521635","Rana temporaria","GCA_905171775.1","amphibian",NA,NA,NA,NA,NA,NA,NA
"133","SAMEA7521636","Bufo bufo","GCA_905171765.1","amphibian",NA,NA,NA,NA,NA,NA,NA
"134","SAMEA7522838","Pholis gunnellus","GCA_910591455.2","ray-finned fish","United Kingdom",NA,"The assembly fPhoGun1.2 is based on 45x PacBio data, 10X Genomics Chromium data, and Arima Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2. The mitochondrial genome was assembled using MitoHifi. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"135","SAMEA7522844","Lipophrys pholis","GCA_963383615.1","ray-finned fish","United Kingdom",NA,"The assembly fLipPho2.1 is based on 41x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"136","SAMEA7522994","Taurulus bubalis","GCA_910589615.1","ray-finned fish","United Kingdom",NA,"The assembly fTauBub2.1 is based on 38x PacBio data, 10X Genomics Chromium data, and Arima Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2. The mitochondrial genome was assembled using MitoHifi. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"137","SAMEA7523520","Cervus elaphus","GCA_910594005.1","mammal",NA,NA,NA,NA,NA,NA,NA
"138","SAMEA7524394","Caprimulgus europaeus","GCA_907165065.1","bird","Italy",NA,"The assembly bCapEur3.1 is based on 87x PacBio data, 10X Genomics Chromium data, and Arima2 Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig separation with purge_dups, 10X based scaffolding with scaff10x, Arrow polishing assisted by Merfin, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Italy",NA,42.6384261,12.674297
"139","SAMEA7524396","Trachurus trachurus","GCA_905171665.2","ray-finned fish","United Kingdom",NA,"The assembly fTraTra1.2 is based on 105x PacBio data, 10X Genomics Chromium data, and Arima Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with purge_dups, 10X based scaffolding with scaff10x, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds are named by synteny with medaka.","United Kingdom",NA,54.7023545,-3.2765753
"140","SAMEA7524400","Meles meles","GCA_922984935.2","mammal","United Kingdom",NA,"The assembly mMelMel3.2 is based on 85x PacBio data, and Arima Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: HiFi reads were assembled using Hifiasm and k-mers from the Illumina-sequenced parents in 'trio' mode; segregation of HiC reads using Canu's 'splitHaplotype' script and k-mers from the Illumina-sequenced parents; for each haplotype assembly, haplotype-specific and unclassified HiC reads were combined to construct scaffolds using SALSA2. The mitochondrial genome was assembled using MitoHifi. Finally, the assembly was analysed and manually improved using gEVAL, combining the paternal haplotype with the X chromosome from the maternal haplotype. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"141","SAMEA7702024","Apodemus sylvaticus","GCA_947179515.1","mammal",NA,NA,NA,NA,NA,NA,NA
"142","SAMEA7852930","Meleagris gallopavo","GCA_943294205.1","bird",NA,NA,NA,NA,NA,NA,NA
"143","SAMEA8228692","Phalacrocorax carbo","GCA_963921805.1","bird",NA,NA,NA,NA,NA,NA,NA
"144","SAMEA8235650","Accipiter gentilis","GCA_929443795.2","bird","United Kingdom",NA,"The assembly bAccGen1.2 is based on 34x PacBio data, 10X Genomics Chromium data, and Arima2 Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Microchromosomes SUPER_35, SUPER_36, SUPER_37, and SUPER_38 were curated based on homology to microchromosomes found in Gallus gallus, Taeniopygia guttata, and Cuculus canorus.","United Kingdom",NA,54.7023545,-3.2765753
"145","SAMEA8592627","Telmatherina bonti","GCA_933228915.1","ray-finned fish","Germany",NA,"The assembly fTelBon1.1 is based on 36x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHifi. Finally, the assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Germany",NA,51.1638175,10.4478313
"146","SAMEA8654747","Thunnus maccoyii","GCA_910596095.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"147","SAMEA8654749","Thunnus albacares","GCA_914725855.2","ray-finned fish","Australia",NA,"The assembly fThuAlb1.2 is based on 54x PacBio data, 10X Genomics Chromium data, and Arima Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Australia",NA,-24.7761086,134.755
"148","SAMEA8748805","Nansenia antarctica","GCA_963989245.1","ray-finned fish","Southern Ocean",NA,"The assembly fNanAnt1.1 is based on 39x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosome 5 contains a heterozygous inversion between approximately 17.4-24.3Mb","Southern Ocean",NA,-59.9999999,89.9999999
"149","SAMEA8748806","Notolepis coatsorum","GCA_963971535.1","ray-finned fish","Southern Ocean",NA,"The assembly fNotCoa1.1 is based on 48x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Southern Ocean",NA,-59.9999999,89.9999999
"150","SAMEA8748807","Electrona antarctica","GCA_951216825.1","ray-finned fish","Southern Ocean",NA,"The assembly fEleAnt2.1 is based on 43x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Southern Ocean",NA,-59.9999999,89.9999999
"151","SAMEA8748812","Borostomias antarcticus","GCA_949987555.1","ray-finned fish","Southern Ocean",NA,"The assembly fBorAnt1.1 is based on 68x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Southern Ocean",NA,-59.9999999,89.9999999
"152","SAMEA8800229","Orcinus orca","GCA_937001465.1","mammal",NA,NA,NA,NA,NA,NA,NA
"153","SAMEA9359753","Fringilla coelebs","GCA_963513975.1","bird","United Kingdom",NA,"The assembly bFriCoe1.1 is based on 42x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Z chromosome identified based on alignment with Gallus gallus (GCA_016700215.1).","United Kingdom",NA,54.7023545,-3.2765753
"154","SAMEA9654429","Tetrao urogallus","GCA_951394365.1","bird","United Kingdom",NA,"The assembly bTetUro1.1 is based on 23x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosome Z identified by alignment to GCA_016699485.1","United Kingdom",NA,54.7023545,-3.2765753
"155","SAMEA9679959","Cinclus cinclus","GCA_963662255.1","bird",NA,NA,NA,NA,NA,NA,NA
"156","SAMEA9921455","Myotis daubentonii","GCA_963259705.1","mammal",NA,NA,NA,NA,NA,NA,NA
"157","SAMEA9921456","Pipistrellus pygmaeus","GCA_949987585.1","mammal","Switzerland",NA,"The assembly mPipPyg2.1 is based on 36x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Sex chromosomes assigned by coverage statistics.","Switzerland",NA,46.7985624,8.2319736
"158","SAMEA994724","Pipistrellus pipistrellus","GCA_903992545.1","mammal",NA,NA,"The assembly mPipPip1.1 is based on 62x PacBio data, 34x 10X Genomics Chromium data, and 58x Arima Hi-C data generated at the Wellcome Sanger Institute. The Hi-C data was derived from a separate sample, mPipPip2. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig separation with purge_dups, 10X based scaffolding with scaff10x, Hi-C based scaffolding with SALSA2, Arrow polishing, two rounds of FreeBayes polishing. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,NA,NA
"159","SAMEA994726","Sciurus carolinensis","GCA_902686445.2","mammal",NA,NA,NA,NA,NA,NA,NA
"160","SAMEA994730","Scyliorhinus canicula","GCA_902713615.2","cartilaginous fish",NA,NA,"The assembly sScyCan1.2 is based on 63x PacBio data, 43x 10X Genomics Chromium data, and BioNano data generated at the Wellcome Sanger Institute, and 17x Hi-C data generated at the Baylor College of Medicine. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with purge_dups, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Hi-C based scaffolding and improvement by the Aiden lab as part of a collaboration with DNA Zoo using 3D-DNA and Juicebox, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,NA,NA
"161","SAMEA994735","Streptopelia turtur","GCA_901699155.2","bird",NA,NA,"The assembly bStrTur1.2 is based on
44x PacBio data,
62x coverage 10X Genomics Chromium data, and BioNano data generated at the Wellcome Sanger Institute, and
106x coverage Hi-C data generated by Arima Genomics. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds are named by synteny to Gallus gallus.",NA,NA,NA,NA
"162","SAMEA994740","Arvicola amphibius","GCA_903992535.2","mammal",NA,NA,NA,NA,NA,NA,NA
"163","SAMN02265252","Calypte anna","GCA_003957555.2","bird",NA,NA,NA,NA,NA,NA,NA
"164","SAMN02981239","Taeniopygia guttata","GCA_003957565.4","bird",NA,NA,NA,NA,NA,NA,NA
